Nombre,Archivo,Categoria,Tipo,URL
Informe Tecla,tecla.pdf,1,PDF,https://drive.google.com/file/d/1NsECWMq66lJdP0TGAXBNl_zaSBQQZ_T3/preview
Azurduy,informe_azurduy.pdf,2,PDF,https://drive.google.com/file/d/1NsECWMq66lJdP0TGAXBNl_zaSBQQZ_T3/preview
Azurduy,informe_azurduy.pdf,3,PDF,https://drive.google.com/file/d/1NsECWMq66lJdP0TGAXBNl_zaSBQQZ_T3/preview
Azurduy,informe_azurduy.pdf,4,PDF,https://drive.google.com/file/d/1NsECWMq66lJdP0TGAXBNl_zaSBQQZ_T3/preview
Azurduy,informe_azurduy.pdf,5,PDF,https://drive.google.com/file/d/1NsECWMq66lJdP0TGAXBNl_zaSBQQZ_T3/preview
